date,revenue,refunds,new_customers,churned_customers
2011-03-09,17674.53,131.72,14,447
2011-03-10,16104.78,323.93,18,455
2011-03-11,15821.39,91.31,13,443
2011-03-13,3804.83,10.5,5,439
2011-03-14,18688.78,100.21,10,443
2011-03-15,10663.51,234.7,13,422
2011-03-16,20038.21,763.62,13,423
2011-03-17,25166.96,1043.99,21,438
2011-03-18,20264.1,289.18,24,444
2011-03-20,18571.55,119.5,21,461
2011-03-21,15497.83,318.66,14,465
2011-03-22,15738.3,82.9,15,448
2011-03-23,17283.29,62.6,22,445
2011-03-24,33792.19,89.89,17,454
2011-03-25,20860.69,159.98,11,466
2011-03-27,9060.35,232.83,6,480
2011-03-28,15696.78,534.15,15,480
2011-03-29,18943.02,180.45,13,456
2011-03-30,25863.11,341.38,18,451
2011-03-31,19194.12,3331.82,18,466
2011-04-01,22090.2,1207.32,15,477
2011-04-03,6918.5,65.05,3,477
2011-04-04,19084.97,485.98,15,476
2011-04-05,18547.91,598.29,13,456
2011-04-06,11766.33,77.55,14,449
2011-04-07,14088.06,207.3,18,475
2011-04-08,19535.9,1976.24,20,479
2011-04-10,9437.49,550.1,9,496
2011-04-11,17612.52,174.86,15,510
2011-04-12,23673.39,440.05,16,489
2011-04-13,22985.13,453.07,17,482
2011-04-14,30923.94,753.24,19,487
2011-04-15,15724.42,6.99,8,491
2011-04-17,11648.54,21.2,11,507
2011-04-18,40272.03,23531.82,12,506
2011-04-19,15231.83,477.35,14,485
2011-04-20,24581.15,206.18,13,495
2011-04-21,23984.23,68.34,15,513
2011-04-26,20551.69,339.17,7,534
2011-04-27,21697.5,339.98,9,528
2011-04-28,19203.41,834.65,14,556
2011-05-01,5879.33,9.0,4,583
2011-05-03,25922.86,15547.15,9,577
2011-05-04,24794.91,73.35,12,563
2011-05-05,21496.35,413.69,18,582
2011-05-06,25601.91,217.23,16,587
2011-05-08,16912.44,22.48,14,592
2011-05-09,19627.7,153.69,7,598
2011-05-10,27250.97,2255.86,13,566
2011-05-11,27145.37,440.94,15,551
2011-05-12,26585.91,1433.4,19,573
2011-05-13,22652.67,5.88,4,592
2011-05-15,8924.87,0.0,7,626
2011-05-16,30334.72,39.68,8,622
2011-05-17,32337.01,613.12,6,585
2011-05-18,29750.98,146.15,13,574
2011-05-19,26350.84,1195.52,16,588
2011-05-20,22929.86,413.9,9,584
2011-05-22,21616.57,25.72,16,604
2011-05-23,23743.96,853.6,8,560
2011-05-24,31775.89,605.43,5,527
2011-05-25,17844.54,142.75,9,503
2011-05-26,21583.03,279.34,7,495
2011-05-27,19317.07,209.84,8,496
2011-05-29,6811.57,186.0,5,506
2011-05-31,14377.49,711.75,8,455
2011-06-01,9210.98,284.68,6,431
2011-06-02,25990.8,279.8,9,427
2011-06-03,13155.64,137.25,9,441
2011-06-05,19511.23,119.19,9,483
2011-06-06,13618.04,974.33,7,497
2011-06-07,32644.09,272.96,11,467
2011-06-08,23545.49,37.08,11,462
2011-06-09,36926.96,858.35,11,491
2011-06-10,50930.64,39685.28,10,490
2011-06-12,11528.83,33.2,9,514
2011-06-13,13940.53,2062.33,13,517
2011-06-14,33334.47,131.35,5,487
2011-06-15,15091.17,1485.31,8,481
2011-06-16,28644.65,436.0,16,504
2011-06-17,14021.47,235.25,1,506
2011-06-19,15765.39,81.4,12,542
2011-06-20,17482.46,843.12,10,549
2011-06-21,16510.28,939.52,11,516
2011-06-22,16501.9,31.05,7,547
2011-06-23,20232.08,963.81,9,562
2011-06-24,13783.66,29.51,3,576
2011-06-26,6276.01,907.32,3,601
2011-06-27,12394.64,191.9,4,609
2011-06-28,16369.63,182.04,9,581
2011-06-29,9641.74,271.44,6,586
2011-06-30,37862.7,932.76,5,581
2011-07-01,9511.05,469.11,5,587
2011-07-03,6032.39,55.25,7,606
2011-07-04,24946.37,108.4,4,605
2011-07-05,24491.87,405.56,8,572
2011-07-06,18129.2,107.96,4,560
2011-07-07,25901.67,997.72,13,586
2011-07-08,14736.48,229.27,6,587
2011-07-10,5993.87,301.8,2,611
2011-07-11,17517.17,125.49,6,611
2011-07-12,15680.52,370.51,6,570
2011-07-13,13702.32,148.8,6,572
2011-07-14,24360.28,1007.82,11,589
2011-07-15,9521.15,255.5,5,591
2011-07-17,16463.27,19.9,6,608
2011-07-18,15402.5,10378.62,3,587
2011-07-19,29171.37,679.75,7,551
2011-07-20,24965.81,6002.83,8,547
2011-07-21,26473.99,655.28,8,558
2011-07-22,12975.68,109.63,5,548
2011-07-24,25092.43,623.26,9,569
2011-07-25,15965.5,70.65,7,569
2011-07-26,16036.59,174.6,3,543
2011-07-27,16550.15,34.48,5,527
2011-07-28,46586.15,516.21,8,540
2011-07-29,15833.77,612.0,13,543
2011-07-31,13570.7,4.25,4,562
2011-08-01,17959.66,18.66,7,555
2011-08-02,13684.5,297.32,9,539
2011-08-03,24918.63,1006.52,8,532
2011-08-04,53726.95,45.81,7,538
2011-08-05,15396.07,226.83,5,546
2011-08-07,7469.56,114.79,5,549
2011-08-08,17281.53,3380.6,3,537
2011-08-09,13355.43,921.69,4,508
2011-08-10,16375.3,196.94,4,498
2011-08-11,32488.72,279.5,7,512
2011-08-12,12478.94,0.0,2,498
2011-08-14,5671.92,128.93,3,517
2011-08-15,13110.46,38.43,8,517
2011-08-16,15576.4,72.01,5,480
2011-08-17,45631.05,2278.38,5,491
2011-08-18,26431.92,588.69,5,515
2011-08-19,12862.03,78.15,8,505
2011-08-21,11809.09,11.15,4,512
2011-08-22,26609.28,1673.05,6,502
2011-08-23,17784.56,30.75,3,468
2011-08-24,35969.33,752.3,4,476
2011-08-25,18238.22,407.92,11,490
2011-08-26,13284.81,76.21,7,498
2011-08-28,9558.54,20.25,3,504
2011-08-30,8303.96,77.43,3,493
2011-08-31,12476.46,8722.6,5,500
2011-09-01,29063.32,35.85,5,517
2011-09-02,26640.45,479.93,6,516
2011-09-04,13093.46,101.1,9,533
2011-09-05,24445.54,33.6,4,533
2011-09-06,20059.19,297.29,5,495
2011-09-07,15662.37,287.88,4,495
2011-09-08,18066.76,469.8,5,508
2011-09-09,19184.98,402.56,8,507
2011-09-11,33745.4,46.2,15,523
2011-09-12,27989.4,699.02,11,513
2011-09-13,35153.33,189.08,12,479
2011-09-14,19682.51,196.12,14,465
2011-09-15,67891.44,2280.48,16,486
2011-09-16,21472.09,409.63,9,491
2011-09-18,15745.73,53.4,7,499
2011-09-19,19143.64,397.92,11,510
2011-09-20,100475.23,14.85,6,485
2011-09-21,30618.52,5586.71,9,486
2011-09-22,46695.69,2256.96,22,510
2011-09-23,23880.48,1171.12,16,497
2011-09-25,28749.49,161.74,19,510
2011-09-26,26871.87,677.7,13,513
2011-09-27,27601.16,527.54,8,484
2011-09-28,32117.13,265.57,11,462
2011-09-29,41336.71,2935.87,19,447
2011-09-30,31394.38,272.51,12,433
2011-10-02,11582.95,10.95,5,454
2011-10-03,61917.55,2135.34,13,459
2011-10-04,37341.84,335.46,9,433
2011-10-05,47006.13,349.2,14,432
2011-10-06,52603.89,7486.01,22,455
2011-10-07,42377.32,310.11,18,463
2011-10-09,12466.81,602.16,15,479
2011-10-10,37257.69,2172.55,19,488
2011-10-11,36664.39,14195.1,10,467
2011-10-12,20410.8,453.22,6,483
2011-10-13,22930.03,297.04,12,511
2011-10-14,22164.67,130.9,7,528
2011-10-16,22010.96,405.52,8,550
2011-10-17,31221.85,656.72,20,555
2011-10-18,30769.47,692.2,12,528
2011-10-19,23027.79,472.12,16,507
2011-10-20,29143.39,274.86,16,534
2011-10-21,52604.41,247.38,10,542
2011-10-23,12339.16,21.05,10,588
2011-10-24,37545.56,7045.76,14,597
2011-10-25,33068.04,507.15,9,564
2011-10-26,29855.5,186.8,12,594
2011-10-27,33313.52,1215.12,17,626
2011-10-28,25669.46,993.58,7,631
2011-10-30,30582.12,25.95,17,714
2011-10-31,28890.92,766.09,6,713
2011-11-01,25110.95,388.6,10,683
2011-11-02,31751.01,407.53,17,676
2011-11-03,56938.19,643.59,13,692
2011-11-04,50923.73,2368.46,10,695
2011-11-06,33155.73,33.94,18,740
2011-11-07,25956.3,1574.24,9,744
2011-11-08,35826.09,715.71,12,713
2011-11-09,59144.92,3510.59,17,703
2011-11-10,55408.52,968.21,11,731
2011-11-11,28498.26,383.71,11,713
2011-11-13,24543.92,549.7,8,722
2011-11-14,53263.86,1801.21,17,722
2011-11-15,38243.0,213.06,15,687
2011-11-16,38278.08,1531.47,11,671
2011-11-17,36523.06,557.46,9,692
2011-11-18,28864.92,737.47,9,701
2011-11-20,26697.37,138.56,13,722
2011-11-21,40700.6,862.97,14,720
2011-11-22,43481.93,434.98,14,679
2011-11-23,56547.94,1534.49,5,658
2011-11-24,30561.68,2636.6,12,680
2011-11-25,22978.56,326.01,9,673
2011-11-27,16471.05,39.58,5,688
2011-11-28,47315.62,1119.77,11,683
2011-11-29,41559.76,376.73,12,644
2011-11-30,31900.7,681.45,5,664
