date,google_spend,meta_spend,total_spend
2011-02-25,1511.78,964.1,2475.88
2011-02-27,815.1,517.93,1333.03
2011-02-28,1083.01,748.07,1831.08
2011-03-01,1086.71,753.95,1840.66
2011-03-02,1595.69,1099.94,2695.63
2011-03-03,1246.22,869.87,2116.09
2011-03-04,1291.23,854.31,2145.54
2011-03-06,931.57,623.74,1555.31
2011-03-07,1704.11,1197.76,2901.87
2011-03-08,1701.21,1159.32,2860.53
2011-03-09,1555.93,1046.07,2602.0
2011-03-10,1419.51,948.36,2367.87
2011-03-11,1446.98,916.78,2363.76
2011-03-13,344.39,220.25,564.64
2011-03-14,1729.74,1170.23,2899.97
2011-03-15,975.49,635.84,1611.33
2011-03-16,1786.56,1188.26,2974.82
2011-03-17,2336.15,1544.7,3880.85
2011-03-18,1763.03,1222.29,2985.32
2011-03-20,1591.66,1162.89,2754.55
2011-03-21,1337.62,955.93,2293.55
2011-03-22,1447.94,942.35,2390.29
2011-03-23,1549.57,1024.18,2573.75
2011-03-24,2938.28,2126.2,5064.48
2011-03-25,1877.66,1278.9,3156.56
2011-03-27,787.08,568.15,1355.23
2011-03-28,1440.44,905.87,2346.31
2011-03-29,1695.69,1176.42,2872.11
2011-03-30,2299.99,1573.06,3873.05
2011-03-31,1693.18,1108.11,2801.29
2011-04-01,2014.02,1337.11,3351.13
2011-04-03,614.06,422.84,1036.9
2011-04-04,1646.82,1089.25,2736.07
2011-04-05,1605.55,1107.79,2713.34
2011-04-06,1107.88,728.95,1836.83
2011-04-07,1319.73,827.99,2147.72
2011-04-08,1793.34,1167.3,2960.64
2011-04-10,829.49,562.98,1392.47
2011-04-11,1659.5,1035.82,2695.32
2011-04-12,2190.0,1479.84,3669.84
2011-04-13,2113.53,1417.9,3531.43
2011-04-14,2769.06,1783.18,4552.24
2011-04-15,1382.97,990.36,2373.33
2011-04-17,1006.06,725.42,1731.48
2011-04-18,3770.41,2364.11,6134.52
2011-04-19,1364.8,944.7,2309.5
2011-04-20,2146.46,1416.82,3563.28
2011-04-21,2116.69,1510.88,3627.57
2011-04-26,1864.3,1253.53,3117.83
2011-04-27,1889.66,1321.39,3211.05
2011-04-28,1789.94,1105.01,2894.95
2011-05-01,542.82,366.77,909.59
2011-05-03,2384.26,1482.11,3866.37
2011-05-04,2216.39,1449.14,3665.53
2011-05-05,1959.3,1243.74,3203.04
2011-05-06,2323.55,1578.63,3902.18
2011-05-08,1544.93,984.12,2529.05
2011-05-09,1693.09,1226.02,2919.11
2011-05-10,2431.94,1660.61,4092.55
2011-05-11,2331.1,1553.18,3884.28
2011-05-12,2391.29,1516.26,3907.55
2011-05-13,2004.05,1298.22,3302.27
2011-05-15,774.69,541.16,1315.85
2011-05-16,2621.85,1874.96,4496.81
2011-05-17,2935.84,1889.49,4825.33
2011-05-18,2589.39,1847.43,4436.82
2011-05-19,2472.4,1511.05,3983.45
2011-05-20,2080.42,1417.2,3497.62
2011-05-22,1915.7,1352.48,3268.18
2011-05-23,2156.38,1463.4,3619.78
2011-05-24,2723.36,1944.33,4667.69
2011-05-25,1679.65,1106.86,2786.51
2011-05-26,1939.04,1235.43,3174.47
2011-05-27,1787.69,1124.46,2912.15
2011-05-29,587.46,393.37,980.83
2011-05-31,1292.25,863.04,2155.29
2011-06-01,828.22,566.21,1394.43
2011-06-02,2441.59,1579.72,4021.31
2011-06-03,1192.5,817.05,2009.55
2011-06-05,1751.36,1130.31,2881.67
2011-06-06,1197.06,836.25,2033.31
2011-06-07,2888.48,1898.52,4787.0
2011-06-08,2123.47,1380.34,3503.81
2011-06-09,3303.12,2262.12,5565.24
2011-06-10,4364.48,3202.58,7567.06
2011-06-12,1071.45,699.45,1770.9
2011-06-13,1304.35,799.17,2103.52
2011-06-14,2892.17,2023.33,4915.5
2011-06-15,1365.54,864.03,2229.57
2011-06-16,2477.11,1784.7,4261.81
2011-06-17,1283.67,858.92,2142.59
2011-06-19,1387.84,915.0,2302.84
2011-06-20,1598.51,1006.12,2604.63
2011-06-21,1519.65,959.27,2478.92
2011-06-22,1525.07,1037.64,2562.71
2011-06-23,1749.46,1208.89,2958.35
2011-06-24,1292.14,850.51,2142.65
2011-06-26,549.6,381.7,931.3
2011-06-27,1063.92,749.06,1812.98
2011-06-28,1481.35,947.32,2428.67
2011-06-29,856.56,604.31,1460.87
2011-06-30,3520.02,2226.63,5746.65
2011-07-01,882.38,575.12,1457.5
2011-07-03,532.99,369.17,902.16
2011-07-04,2346.86,1519.12,3865.98
2011-07-05,2158.18,1534.26,3692.44
2011-07-06,1634.08,1049.51,2683.59
2011-07-07,2274.26,1555.4,3829.66
2011-07-08,1384.11,875.7,2259.81
2011-07-10,521.36,358.7,880.06
2011-07-11,1504.8,1011.01,2515.81
2011-07-12,1402.09,906.41,2308.5
2011-07-13,1293.93,803.89,2097.82
2011-07-14,2278.3,1433.07,3711.37
2011-07-15,878.21,567.15,1445.36
2011-07-17,1539.6,998.76,2538.36
2011-07-18,1440.77,936.59,2377.36
2011-07-19,2630.37,1734.85,4365.22
2011-07-20,2205.56,1484.28,3689.84
2011-07-21,2447.47,1543.59,3991.06
2011-07-22,1186.69,785.42,1972.11
2011-07-24,2229.79,1478.0,3707.79
2011-07-25,1378.62,913.49,2292.11
2011-07-26,1478.91,954.34,2433.25
2011-07-27,1454.13,990.44,2444.57
2011-07-28,4375.9,2718.47,7094.37
2011-07-29,1388.13,956.91,2345.04
2011-07-31,1175.29,819.6,1994.89
2011-08-01,1669.89,1099.35,2769.24
2011-08-02,1188.9,833.22,2022.12
2011-08-03,2170.75,1517.91,3688.66
2011-08-04,4883.48,3164.37,8047.85
2011-08-05,1437.55,950.32,2387.87
2011-08-07,651.85,450.38,1102.23
2011-08-08,1525.84,1029.78,2555.62
2011-08-09,1235.33,811.42,2046.75
2011-08-10,1543.31,968.83,2512.14
2011-08-11,2924.2,1951.81,4876.01
2011-08-12,1083.11,766.46,1849.57
2011-08-14,485.66,353.47,839.13
2011-08-15,1148.04,819.75,1967.79
2011-08-16,1350.26,934.92,2285.18
2011-08-17,4179.76,2743.41,6923.17
2011-08-18,2288.91,1633.47,3922.38
2011-08-19,1158.32,757.4,1915.72
2011-08-21,1083.46,732.45,1815.91
2011-08-22,2414.26,1595.62,4009.88
2011-08-23,1552.56,1026.08,2578.64
2011-08-24,3335.69,2065.8,5401.49
2011-08-25,1676.8,1131.72,2808.52
2011-08-26,1224.21,761.66,1985.87
2011-08-28,828.53,560.93,1389.46
2011-08-30,719.24,489.97,1209.21
2011-08-31,1170.89,724.11,1895.0
2011-09-01,2588.91,1711.35,4300.26
2011-09-02,2349.92,1637.22,3987.14
2011-09-04,1177.07,747.48,1924.55
2011-09-05,2235.93,1514.72,3750.65
2011-09-06,1887.58,1246.46,3134.04
2011-09-07,1379.51,927.74,2307.25
2011-09-08,1695.08,1046.46,2741.54
2011-09-09,1644.61,1162.71,2807.32
2011-09-11,3053.85,1947.72,5001.57
2011-09-12,2552.79,1656.68,4209.47
2011-09-13,3039.11,2205.89,5245.0
2011-09-14,1707.71,1239.46,2947.17
2011-09-15,6060.81,4184.33,10245.14
2011-09-16,2022.59,1263.97,3286.56
2011-09-18,1430.73,962.47,2393.2
2011-09-19,1797.53,1172.21,2969.74
2011-09-20,9318.0,5960.9,15278.9
2011-09-21,2746.68,1862.99,4609.67
2011-09-22,4322.29,2664.66,6986.95
2011-09-23,2045.61,1391.14,3436.75
2011-09-25,2486.32,1729.3,4215.62
2011-09-26,2498.14,1558.1,4056.24
2011-09-27,2557.84,1600.74,4158.58
2011-09-28,2813.26,1991.83,4805.09
2011-09-29,3731.75,2601.52,6333.27
2011-09-30,2855.45,1894.21,4749.66
2011-10-02,1080.8,718.54,1799.34
2011-10-03,5630.04,3897.21,9527.25
2011-10-04,3331.38,2160.21,5491.59
2011-10-05,4177.32,2805.77,6983.09
2011-10-06,4699.26,3122.33,7821.59
2011-10-07,3871.9,2435.86,6307.76
2011-10-09,1163.25,767.11,1930.36
2011-10-10,3337.73,2220.66,5558.39
2011-10-11,3216.59,2193.12,5409.71
2011-10-12,1788.6,1181.87,2970.47
2011-10-13,2114.47,1331.9,3446.37
2011-10-14,2057.97,1384.02,3441.99
2011-10-16,1902.79,1260.52,3163.31
2011-10-17,2688.17,1823.27,4511.44
2011-10-18,2795.4,1807.78,4603.18
2011-10-19,1999.17,1380.31,3379.48
2011-10-20,2708.06,1763.72,4471.78
2011-10-21,4644.6,3154.15,7798.75
2011-10-23,1070.98,709.56,1780.54
2011-10-24,3521.35,2194.99,5716.34
2011-10-25,2876.58,2052.25,4928.83
2011-10-26,2629.15,1815.98,4445.13
2011-10-27,2894.36,2028.62,4922.98
2011-10-28,2221.42,1566.38,3787.8
2011-10-30,2620.59,1883.17,4503.76
2011-10-31,2484.58,1656.86,4141.44
2011-11-01,2186.45,1486.56,3673.01
2011-11-02,2729.97,1912.59,4642.56
2011-11-03,5171.14,3361.1,8532.24
2011-11-04,4665.96,3160.68,7826.64
2011-11-06,2952.27,1985.88,4938.15
2011-11-07,2293.55,1599.21,3892.76
2011-11-08,3225.81,2225.23,5451.04
2011-11-09,5522.66,3550.4,9073.06
2011-11-10,5161.87,3460.67,8622.54
2011-11-11,2447.75,1724.79,4172.54
2011-11-13,2138.6,1524.22,3662.82
2011-11-14,4667.55,3144.89,7812.44
2011-11-15,3355.61,2294.31,5649.92
2011-11-16,3469.57,2303.9,5773.47
2011-11-17,3259.55,2104.82,5364.37
2011-11-18,2480.75,1714.33,4195.08
2011-11-20,2372.4,1668.69,4041.09
2011-11-21,3671.75,2473.99,6145.74
2011-11-22,3757.49,2524.78,6282.27
2011-11-23,5259.02,3338.2,8597.22
2011-11-24,2627.32,1777.15,4404.47
2011-11-25,2155.93,1313.2,3469.13
2011-11-27,1422.97,1030.51,2453.48
2011-11-28,4404.71,2824.23,7228.94
2011-11-29,3890.99,2445.59,6336.58
2011-11-30,3008.75,1932.89,4941.64
