date,sessions,conversions,conversion_rate
2011-07-03,693,25,0.0361
2011-07-04,981,32,0.0326
2011-07-05,1685,61,0.0362
2011-07-06,1747,61,0.0349
2011-07-07,1840,67,0.0364
2011-07-08,1223,40,0.0327
2011-07-10,649,24,0.037
2011-07-11,1139,43,0.0378
2011-07-12,1046,37,0.0354
2011-07-13,1479,48,0.0325
2011-07-14,1852,61,0.0329
2011-07-15,980,33,0.0337
2011-07-17,1457,48,0.0329
2011-07-18,1276,42,0.0329
2011-07-19,1404,49,0.0349
2011-07-20,1331,48,0.0361
2011-07-21,1908,64,0.0335
2011-07-22,1026,35,0.0341
2011-07-24,1484,53,0.0357
2011-07-25,1282,48,0.0374
2011-07-26,1247,42,0.0337
2011-07-27,1044,38,0.0364
2011-07-28,2140,70,0.0327
2011-07-29,1643,60,0.0365
2011-07-31,966,36,0.0373
2011-08-01,1113,37,0.0332
2011-08-02,918,34,0.037
2011-08-03,1599,59,0.0369
2011-08-04,2003,69,0.0344
2011-08-05,1393,46,0.033
2011-08-07,761,28,0.0368
2011-08-08,914,33,0.0361
2011-08-09,1104,37,0.0335
2011-08-10,1137,37,0.0325
2011-08-11,1686,59,0.035
2011-08-12,1051,39,0.0371
2011-08-14,632,24,0.038
2011-08-15,1175,43,0.0366
2011-08-16,1237,46,0.0372
2011-08-17,1322,45,0.034
2011-08-18,1664,62,0.0373
2011-08-19,1316,46,0.035
2011-08-21,943,32,0.0339
2011-08-22,1650,57,0.0345
2011-08-23,1387,51,0.0368
2011-08-24,1858,62,0.0334
2011-08-25,1803,61,0.0338
2011-08-26,1068,36,0.0337
2011-08-28,968,36,0.0372
2011-08-30,564,21,0.0372
2011-08-31,1007,33,0.0328
2011-09-01,1967,70,0.0356
2011-09-02,1521,55,0.0362
2011-09-04,1198,42,0.0351
2011-09-05,1700,58,0.0341
2011-09-06,1655,54,0.0326
2011-09-07,1076,39,0.0362
2011-09-08,1953,64,0.0328
2011-09-09,1373,52,0.0379
2011-09-11,2046,71,0.0347
2011-09-12,1955,67,0.0343
2011-09-13,1553,58,0.0373
2011-09-14,1616,60,0.0371
2011-09-15,2031,72,0.0355
2011-09-16,1290,42,0.0326
2011-09-18,783,27,0.0345
2011-09-19,1619,53,0.0327
2011-09-20,1828,61,0.0334
2011-09-21,1592,56,0.0352
2011-09-22,2808,94,0.0335
2011-09-23,1292,49,0.0379
2011-09-25,1848,69,0.0373
2011-09-26,1805,60,0.0332
2011-09-27,2125,71,0.0334
2011-09-28,1832,67,0.0366
2011-09-29,2728,95,0.0348
2011-09-30,1801,62,0.0344
2011-10-02,1029,34,0.033
2011-10-03,1859,64,0.0344
2011-10-04,1888,67,0.0355
2011-10-05,2212,79,0.0357
2011-10-06,2795,99,0.0354
2011-10-07,2107,72,0.0342
2011-10-09,1150,38,0.033
2011-10-10,2326,82,0.0353
2011-10-11,1837,67,0.0365
2011-10-12,1724,63,0.0365
2011-10-13,1930,65,0.0337
2011-10-14,1741,58,0.0333
2011-10-16,937,35,0.0374
2011-10-17,1835,69,0.0376
2011-10-18,1972,68,0.0345
2011-10-19,1752,65,0.0371
2011-10-20,2284,76,0.0333
2011-10-21,1441,52,0.0361
2011-10-23,1132,42,0.0371
2011-10-24,2135,70,0.0328
2011-10-25,1839,68,0.037
2011-10-26,2317,84,0.0363
2011-10-27,2402,89,0.0371
2011-10-28,1528,57,0.0373
2011-10-30,2374,90,0.0379
2011-10-31,1380,52,0.0377
2011-11-01,1896,70,0.0369
2011-11-02,1990,75,0.0377
2011-11-03,2638,91,0.0345
2011-11-04,2293,78,0.034
2011-11-06,2612,93,0.0356
2011-11-07,2247,81,0.036
2011-11-08,2688,94,0.035
2011-11-09,3453,114,0.033
2011-11-10,3259,108,0.0331
2011-11-11,1986,75,0.0378
2011-11-13,2142,79,0.0369
2011-11-14,2545,93,0.0365
2011-11-15,2523,92,0.0365
2011-11-16,3150,109,0.0346
2011-11-17,3185,113,0.0355
2011-11-18,2333,88,0.0377
2011-11-20,2519,90,0.0357
2011-11-21,2524,88,0.0349
2011-11-22,3130,117,0.0374
2011-11-23,3491,116,0.0332
2011-11-24,2493,94,0.0377
2011-11-25,2044,67,0.0328
2011-11-27,1471,55,0.0374
2011-11-28,3225,107,0.0332
2011-11-29,3497,115,0.0329
2011-11-30,2584,84,0.0325
