date,revenue,refunds,new_customers,churned_customers,google_spend,meta_spend,total_spend,sessions,conversions,conversion_rate,net_revenue,refund_rate,CAC,active_customers_30d,churn_rate,revenue_growth_7d,spend_change_7d,weekday,is_weekend,refund_rate_raw,refund_rate_clean,rolling_7d_spend,rolling_7d_new_customers,CAC_clean,churn_rate_clean
2026-04-12,4686.0,234.3,45,3,665.4,443.6,1109.0,5069,150,0.0296,4451.7,0.05,23.3035,540.0,0.0056,-0.0846,-0.0323,Sunday,True,0.05,0.049999999999999996,8063.0,346.0,23.303468208092486,0.005555555555555556
2026-04-13,5104.0,255.2,48,3,667.2,444.8,1112.0,5067,150,0.0296,4848.8,0.05,23.1304,588.0,0.0051,0.0423,-0.0695,Monday,False,0.049999999999999996,0.049999999999999996,7980.0,345.0,23.130434782608695,0.00510204081632653
2026-04-14,5480.0,274.0,48,3,760.2,506.8,1267.0,5043,150,0.0297,5206.0,0.05,23.7788,636.0,0.0047,0.0379,0.0683,Tuesday,False,0.05,0.05,8061.0,339.0,23.778761061946902,0.0047169811320754715
2026-04-15,4625.0,231.25,50,3,765.6,510.4,1276.0,4881,150,0.0307,4393.75,0.05,24.0914,686.0,0.0044,0.0114,0.0906,Wednesday,False,0.05,0.05,8167.0,339.0,24.091445427728612,0.004373177842565598
2026-04-16,4856.0,242.8,45,3,761.4,507.6,1269.0,5063,150,0.0296,4613.2,0.05,25.197,731.0,0.0041,-0.091,0.132,Thursday,False,0.05,0.05,8315.0,330.0,25.196969696969695,0.004103967168262654
2026-04-17,4856.0,242.8,51,2,660.6,440.4,1101.0,5167,150,0.029,4613.2,0.05,24.9608,782.0,0.0026,-0.0703,-0.0248,Friday,False,0.05,0.05,8287.0,332.0,24.960843373493976,0.0025575447570332483
2026-04-18,4575.0,228.75,48,2,724.2,482.8,1207.0,5007,150,0.03,4346.25,0.05,24.8985,830.0,0.0024,-0.081,0.0468,Saturday,True,0.05,0.05,8341.0,335.0,24.898507462686567,0.0024096385542168677
2026-04-19,5406.0,270.3,53,2,729.6,486.4,1216.0,5115,150,0.0293,5135.7,0.05,24.6297,883.0,0.0023,0.1536,0.0965,Sunday,True,0.05,0.05,8448.0,343.0,24.629737609329446,0.0022650056625141564
2026-04-20,4624.0,231.2,54,3,687.6,458.4,1146.0,5143,150,0.0292,4392.8,0.05,24.3037,937.0,0.0032,-0.094,0.0306,Monday,False,0.049999999999999996,0.05,8482.0,349.0,24.303724928366762,0.0032017075773745998
2026-04-21,4704.0,235.2,52,2,744.6,496.4,1241.0,5061,150,0.0296,4468.8,0.05,23.9547,989.0,0.002,-0.1416,-0.0205,Tuesday,False,0.049999999999999996,0.05,8456.0,353.0,23.954674220963174,0.0020222446916076846
2026-04-22,4899.0,244.95,45,2,718.2,478.8,1197.0,4993,150,0.03,4654.05,0.05,24.0718,1034.0,0.0019,0.0592,-0.0619,Wednesday,False,0.049999999999999996,0.05,8377.0,348.0,24.07183908045977,0.0019342359767891683
2026-04-23,4905.0,245.25,51,2,710.4,473.6,1184.0,4817,150,0.0311,4659.75,0.05,23.4237,1085.0,0.0018,0.0101,-0.067,Thursday,False,0.05,0.05,8292.0,354.0,23.423728813559322,0.0018433179723502304
2026-04-24,5442.0,272.1,46,3,750.0,500.0,1250.0,4810,150,0.0312,5169.9,0.05,24.1862,1131.0,0.0027,0.1207,0.1353,Friday,False,0.05,0.05,8441.0,349.0,24.186246418338108,0.002652519893899204
2026-04-25,4566.0,228.3,47,2,723.6,482.4,1206.0,5172,150,0.029,4337.7,0.05,24.2529,1178.0,0.0017,-0.002,-0.0008,Saturday,True,0.05,0.05,8440.0,348.0,24.25287356321839,0.001697792869269949
2026-04-26,4876.0,243.8,50,3,687.0,458.0,1145.0,4825,150,0.0311,4632.2,0.05,24.258,1228.0,0.0024,-0.098,-0.0584,Sunday,True,0.05,0.05,8369.0,345.0,24.257971014492753,0.0024429967426710096
2026-04-27,3714.2,557.13,51,15,1010.1,673.4,1683.5,5147,100,0.0194,3157.07,0.05,26.0424,1279.0,0.0117,-0.2813,0.469,Monday,False,0.15,0.05,8906.5,342.0,26.042397660818715,0.011727912431587178
2026-04-28,3482.5,522.38,46,15,989.04,659.36,1648.4,4809,100,0.0208,2960.12,0.05,27.7199,1325.0,0.0113,-0.3376,0.3283,Tuesday,False,0.15000143575017946,0.05,9313.9,336.0,27.719940476190477,0.011320754716981131
2026-04-29,3623.2,543.48,45,15,907.14,604.76,1511.9,5121,100,0.0195,3079.72,0.05,28.6571,1370.0,0.0109,-0.3383,0.2631,Wednesday,False,0.15000000000000002,0.05,9628.8,336.0,28.657142857142855,0.010948905109489052
2026-04-30,3404.1,510.61,46,15,950.82,633.88,1584.7,4894,100,0.0204,2893.49,0.05,30.3006,1416.0,0.0106,-0.379,0.3384,Thursday,False,0.14999853118298523,0.05,10029.5,331.0,30.300604229607252,0.01059322033898305
2026-05-01,3799.6,569.94,54,15,922.74,615.16,1537.9,5084,100,0.0197,3229.66,0.05,30.4348,1470.0,0.0102,-0.3753,0.2303,Friday,False,0.15000000000000002,0.05,10317.4,339.0,30.43480825958702,0.01020408163265306
2026-05-02,3448.2,517.23,47,15,917.28,611.52,1528.8,4822,100,0.0207,2930.97,0.05,31.387,1470.0,0.0102,-0.3243,0.2677,Saturday,True,0.15000000000000002,0.05,10640.2,339.0,31.387020648967553,0.01020408163265306
